отзывы,разметка
"Оболочка после чистого андроида тоже очень некомфортная, но это дело вкуса и привычки.",-
"Нормальный телефон, очень красивая задняя панель",+
Деньги на ветер .,-
ну так себе,-
"Ценник вполне адекватный для такой мощной новинки, неубиваемое стекло (случайно проверил).",+
"Это просто находка для любителей фотографии! Камера снимает на профессиональном уровне, а результаты вызывают восторг. Здесь и разные режимы и настройки и другие фишки. В этом телефоне настоящая профессиональная камера. Аккумулятор долго держит заряд, что обеспечивает целые сутки полной автономности.",+
"Брал из любопытства. Ну, норм, но не вау",-
"С тех пор как перешёл с аналога на Rapid Quantum Calculations, ну мне всё понравилось, кроме батареи.",+
"На громкой связи с первого звонка в динамике слышны шумы, звук приглушается, и почти не слышно.",-
"После QPhone Pro MAX отлично лежит в руке, брал на замену, хороший телефон",+
Круто,+
"Взял смартфон, на следующий день буду возвращать, характеристикам не соответствует, тормозит, греется быстро разряжается камера явно завышена, 50мп точно нет",-
"На удивление, оказался достаточно прочным. Мне казалась, что вся эта сложная конструкция быстро развалится от любого удара",+
"Классный большой экран, удобно сидит в руке хоть и огромный. Это мой первый Rapid Quantum Calculations серьезный, в сравнении с другими производителями пока просто летает, очень быстрый",+
не очень быстрый,-
"Пользуюсь телефонами Rapid Quantum Calculations уже 10 лет. Всегда всё устраивало. Цена, конечно, высоковата, но оно того стоит",+
"При звонках часто пропадает связь, сегодня вообще перестал ловить интернет и мобильный и вай фай, хотя у других ловит... Т.е. дело именно в телефоне... Все тормозит... И как вернуть его неизвестно ...Очень сожалею что выбрала эту марку",-
"Обновления приходят редко, уже хочется новенького.",-
тормозит как моя пробабушка,-
"Использовала его примерно год. Реклама и постоянные уведомления - это просто кошмар. Через неделю после использования звук у динамика стал настолько глухим, что я практически не слышала собеседника. Периодически сам перезагружается.",-
"Покупал под одно приложение для работы , не справился ни с чем",-
"После Айфона достаточно легко в нем, меню настроила под себя, в руке удобно лежит",+
"За меньше чем неделю использования телефон начал вести себя не очень, а именно быстро разряжается, пару раз уходил в перезагрузку без моей команды, и в целом работал мягко говоря так себе. На данный момент отдал в сервис интересно, что будет дальше.",-
Телефон лагает. Экран блокировки не разблокировать. Только нужно полностью перезагрузить телефон. Хочу вернуть товар ,-
"не верю, это всё обман",-
"Не переходите с Rapid Quantum Calculations на вот это вот, пожалеете. Это шаг в каменный век.",-
